Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
18,850	-0,014	0,133
18,900	-0,015	0,110
18,950	-0,014	0,096
19,000	-0,015	0,087
19,050	-0,014	0,075
19,100	-0,015	0,061
19,150	-0,014	0,060
19,200	-0,015	0,059
19,250	-0,014	0,059
19,300	-0,015	0,060
19,350	-0,014	0,046
19,400	-0,015	0,009
19,450	-0,014	0,005
19,500	-0,015	0,002
19,550	-0,014	-0,001
19,600	-0,015	-0,001
19,650	-0,014	-0,001
19,700	-0,015	-1,431E-4
19,750	-0,014	2,976E-4
19,800	-0,015	2,402E-4
19,850	-0,014	6,689E-5
19,900	-0,015	1,060E-4
19,950	-0,014	1,780E-4
20,000	-0,015	3,271E-5
20,050	-0,014	2,427E-4
20,100	-0,015	5,469E-5
20,150	-0,014	5,820E-4
20,200	-0,015	-8,936E-5
20,250	-0,014	4,966E-4
20,300	-0,015	2,634E-4
20,350	-0,014	4,514E-4
20,400	-0,015	-3,320E-5
20,450	-0,014	1,304E-4
20,500	-0,015	1,169E-4
20,550	-0,014	0,001
20,600	-0,015	0,001
20,650	-0,014	0,001
20,700	-0,015	0,002
20,750	-0,014	0,002
20,800	-0,015	0,002
20,850	-0,014	0,002
20,900	-0,015	0,002
20,950	-0,015	0,001
21,000	-0,015	0,001
21,050	-0,014	0,002
21,100	-0,015	0,001
21,150	-0,014	0,002
21,200	-0,015	0,001
21,250	-0,014	0,002
21,300	-0,015	0,002
21,350	-0,014	0,002
21,400	-0,015	0,002
21,450	-0,014	0,001
21,500	-0,015	-5,935E-4
21,550	-0,014	-8,914E-4
21,600	-0,015	-0,016
21,650	-0,014	-0,038
21,700	-0,016	-0,089
21,750	-0,015	-0,163
21,800	-0,016	-0,195
21,850	-0,015	-0,198
21,900	-0,015	-0,197
21,950	-0,015	-0,197
22,000	-0,015	-0,196
22,050	-0,015	-0,195
22,100	-0,016	-0,195
22,150	-0,015	-0,195
22,200	-0,015	-0,195
22,250	-0,015	-0,196
22,300	-0,016	-0,198
22,350	-0,015	-0,206
22,400	-0,016	-0,212
22,450	-0,015	-0,217
22,500	-0,016	-0,229
22,550	-0,015	-0,249
22,600	-0,016	-0,257
22,650	-0,015	-0,265
22,700	-0,016	-0,273
22,750	-0,015	-0,282
22,800	-0,016	-0,298
22,850	-0,015	-0,301
22,900	-0,016	-0,307
22,950	-0,015	-0,325
23,000	-0,016	-0,346
23,050	-0,015	-0,352
23,100	-0,016	-0,362
23,150	-0,015	-0,390
23,200	-0,016	-0,402
23,250	-0,015	-0,407
23,300	-0,016	-0,442
23,350	-0,016	-0,457
23,400	-0,016	-0,466
23,450	-0,016	-0,482
23,500	-0,016	-0,489
23,550	-0,016	-0,502
23,600	-0,017	-0,521
23,650	-0,016	-0,537
23,700	-0,017	-0,548
23,750	-0,016	-0,561
23,800	-0,017	-0,584
23,850	-0,016	-0,599
23,900	-0,017	-0,605
23,950	-0,016	-0,616
24,000	-0,016	-0,633
24,050	-0,016	-0,642
24,100	-0,017	-0,666
24,150	-0,016	-0,688
24,200	-0,016	-0,704
24,250	-0,016	-0,721
24,300	-0,017	-0,730
24,350	-0,016	-0,732
24,400	-0,017	-0,737
24,450	-0,017	-0,749
24,500	-0,017	-0,762
24,550	-0,016	-0,786
24,600	-0,017	-0,807
24,650	-0,016	-0,816
24,700	-0,017	-0,833
24,750	-0,016	-0,846
24,800	-0,017	-0,854
24,850	-0,017	-0,864
24,900	-0,017	-0,868
24,950	-0,017	-0,868
25,000	-0,017	-0,874
25,050	-0,016	-0,886
25,100	-0,017	-0,902
25,150	-0,017	-0,936
25,200	-0,017	-0,946
25,250	-0,017	-0,949
25,300	-0,017	-0,998
25,350	-0,017	-1,026
25,400	-0,017	-1,072
25,450	-0,017	-1,126
25,500	-0,017	-1,152
25,550	-0,017	-1,165
25,600	-0,017	-1,183
25,650	-0,017	-1,216
25,700	-0,018	-1,253
25,750	-0,017	-1,273
25,800	-0,018	-1,278
25,850	-0,017	-1,293
25,900	-0,018	-1,310
25,950	-0,017	-1,328
26,000	-0,018	-1,338
26,050	-0,017	-1,367
26,100	-0,018	-1,378
26,150	-0,018	-1,388
26,200	-0,018	-1,381
26,250	-0,018	-1,376
26,300	-0,018	-1,376
26,350	-0,018	-1,376
26,400	-0,018	-1,375
26,450	-0,017	-1,372
26,500	-0,018	-1,428
26,550	-0,018	-1,483
26,600	-0,018	-1,550
26,650	-0,018	-1,617
26,700	-0,018	-1,650
26,750	-0,018	-1,667
26,800	-0,018	-1,688
26,850	-0,018	-1,706
26,900	-0,019	-1,713
26,950	-0,018	-1,743
27,000	-0,018	-1,769
27,050	-0,018	-1,793
27,100	-0,019	-1,812
27,150	-0,018	-1,816
27,200	-0,019	-1,841
27,250	-0,019	-1,891
27,300	-0,018	-1,938
27,350	-0,018	-1,992
27,400	-0,019	-2,034
27,450	-0,019	-2,060
27,500	-0,019	-2,090
27,550	-0,019	-2,118
27,600	-0,019	-2,157
27,650	-0,019	-2,188
27,700	-0,019	-2,211
27,750	-0,019	-2,231
27,800	-0,019	-2,248
27,850	-0,019	-2,268
27,900	-0,019	-2,287
27,950	-0,019	-2,305
28,000	-0,019	-2,309
28,050	-0,019	-2,308
28,100	-0,019	-2,308
28,150	-0,019	-2,309
28,200	-0,019	-2,309
28,250	-0,019	-2,309
28,300	-0,019	-2,309
28,350	-0,019	-2,309
28,400	-0,019	-2,349
28,450	-0,019	-2,434
28,500	-0,019	-2,496
28,550	-0,020	-2,523
28,600	-0,019	-2,535
28,650	-0,020	-2,581
28,700	-0,020	-2,620
28,750	-0,020	-2,655
28,800	-0,020	-2,721
28,850	-0,020	-2,763
28,900	-0,020	-2,808
28,950	-0,020	-2,855
29,000	-0,020	-2,905
29,050	-0,020	-2,963
29,100	-0,021	-3,041
29,150	-0,021	-3,069
29,200	-0,020	-3,088
29,250	-0,021	-3,119
29,300	-0,021	-3,144
29,350	-0,021	-3,179
29,400	-0,021	-3,220
29,450	-0,021	-3,252
29,500	-0,021	-3,286
29,550	-0,021	-3,307
29,600	-0,021	-3,324
29,650	-0,021	-3,334
29,700	-0,021	-3,354
29,750	-0,021	-3,380
29,800	-0,021	-3,398
29,850	-0,021	-3,420
29,900	-0,021	-3,425
29,950	-0,021	-3,448
30,000	-0,021	-3,452
30,050	-0,021	-3,449
30,100	-0,021	-3,448
30,150	-0,021	-3,447
30,200	-0,021	-3,447
30,250	-0,021	-3,448
30,300	-0,021	-3,447
30,350	-0,021	-3,468
30,400	-0,021	-3,555
30,450	-0,022	-3,603
30,500	-0,021	-3,611
30,550	-0,022	-3,646
30,600	-0,022	-3,685
30,650	-0,022	-3,719
30,700	-0,021	-3,753
30,750	-0,022	-3,792
30,800	-0,022	-3,814
30,850	-0,022	-3,833
30,900	-0,022	-3,857
30,950	-0,022	-3,889
31,000	-0,022	-3,937
31,050	-0,022	-3,961
31,100	-0,022	-3,984
31,150	-0,022	-4,013
31,200	-0,022	-4,044
31,250	-0,022	-4,088
31,300	-0,022	-4,128
31,350	-0,022	-4,153
31,400	-0,022	-4,188
31,450	-0,023	-4,204
31,500	-0,023	-4,212
31,550	-0,023	-4,208
31,600	-0,023	-4,220
31,650	-0,023	-4,244
31,700	-0,022	-4,245
31,750	-0,023	-4,245
31,800	-0,022	-4,245
31,850	-0,023	-4,245
31,900	-0,023	-4,245
31,950	-0,023	-4,245
32,000	-0,022	-4,263
32,050	-0,023	-4,321
32,100	-0,023	-4,385
32,150	-0,023	-4,453
32,200	-0,023	-4,489
32,250	-0,024	-4,532
32,300	-0,023	-4,599
32,350	-0,024	-4,659
32,400	-0,023	-4,735
32,450	-0,024	-4,775
32,500	-0,023	-4,785
32,550	-0,024	-4,798
32,600	-0,024	-4,821
32,650	-0,024	-4,845
32,700	-0,023	-4,888
32,750	-0,024	-4,936
